plu,campaign,clasificacion,TIPO_PRENDA,color_comercial,codigo_color,TALLA_EDAD,grupo_articulo,dda,fac,precio,upe,color
990241,1,Moda,CAMISETA MANGA CORTA,Amarillo,Blanco 10-0000,2 to 5 years,CAMISETA,25.0,25,27990.0,7.932101213611486e-05,Yellow
990243,1,Moda,CAMISETA MANGA CORTA,Amarillo,Coral 15-1435,2 to 5 years,CAMISETA,26.0,21,27990.0,8.249385262155945e-05,Yellow
990244,1,Moda,CAMISETA MANGA CORTA,Amarillo,Amarillo 12-0727,2 to 5 years,CAMISETA,12.0,12,27990.0,7.932101213611486e-05,Yellow
990245,1,Moda,CAMISETA MANGA CORTA,Amarillo,Blanco 10-0000,2 to 5 years,CAMISETA,48.0,48,27990.0,8.276975179420681e-05,Yellow
990247,1,Moda,CAMISETA MANGA CORTA,Amarillo,Coral 15-1435,2 to 5 years,CAMISETA,29.0,29,27990.0,7.932101213611486e-05,Yellow
990248,1,Moda,CAMISETA MANGA CORTA,Amarillo,Amarillo 12-0727,2 to 5 years,CAMISETA,45.0,45,27990.0,8.301036153779462e-05,Yellow
990249,1,Moda,CAMISETA MANGA CORTA,Amarillo,Blanco 10-0000,2 to 5 years,CAMISETA,73.0,73,27990.0,7.618991955179467e-05,Yellow
990251,1,Moda,CAMISETA MANGA CORTA,Amarillo,Coral 15-1435,2 to 5 years,CAMISETA,51.0,51,27990.0,7.77956080565742e-05,Yellow
990252,1,Moda,CAMISETA MANGA CORTA,Amarillo,Amarillo 12-0727,2 to 5 years,CAMISETA,51.0,51,27990.0,7.932101213611488e-05,Yellow
990253,1,Moda,CAMISETA MANGA CORTA,Amarillo,Blanco 10-0000,2 to 5 years,CAMISETA,88.0,88,27990.0,8.212057727033085e-05,Yellow
990255,1,Moda,CAMISETA MANGA CORTA,Amarillo,Coral 15-1435,2 to 5 years,CAMISETA,54.0,54,27990.0,8.398695402647458e-05,Yellow
990256,1,Moda,CAMISETA MANGA CORTA,Amarillo,Amarillo 12-0727,2 to 5 years,CAMISETA,61.0,61,27990.0,7.932101213611493e-05,Yellow
990257,1,Moda,CAMISETA MANGA CORTA,Amarillo,Blanco 10-0000,2 to 5 years,CAMISETA,124.0,124,27990.0,7.744728743998641e-05,Yellow
990259,1,Moda,CAMISETA MANGA CORTA,Amarillo,Coral 15-1435,2 to 5 years,CAMISETA,86.0,86,27990.0,8.319032980129136e-05,Yellow
990260,1,Moda,CAMISETA MANGA CORTA,Amarillo,Amarillo 12-0727,2 to 5 years,CAMISETA,104.0,104,27990.0,7.932101213611507e-05,Yellow
990273,1,Moda,LEGGINGS,Rosado,Rosado 13-1409,0 to 24 months,PANTALON LARGO,9.0,6,22990.0,7.932101213611486e-05,Pink
990276,1,Moda,LEGGINGS,Rosado,Rosado 13-1409,0 to 24 months,PANTALON LARGO,18.0,18,22990.0,7.932101213611486e-05,Pink
990279,1,Moda,LEGGINGS,Rosado,Rosado 13-1409,0 to 24 months,PANTALON LARGO,37.0,37,22990.0,7.723361707990131e-05,Pink
990282,1,Moda,LEGGINGS,Rosado,Rosado 13-1409,0 to 24 months,PANTALON LARGO,14.0,14,22990.0,7.932101213611486e-05,Pink
990285,1,Moda,LEGGINGS,Rosado,Rosado 13-1409,0 to 24 months,PANTALON LARGO,15.0,15,22990.0,7.932101213611486e-05,Pink
990286,1,Moda,BODY MANGA CORTA,Amarillo,Blanco 10-0000,0 to 24 months,BODY,5.0,5,25990.0,7.932101213611486e-05,Yellow
990288,1,Moda,BODY MANGA CORTA,Amarillo,Amarillo 12-0740,0 to 24 months,BODY,7.0,7,25990.0,7.932101213611486e-05,Yellow
990289,1,Moda,BODY MANGA CORTA,Amarillo,Blanco 10-0000,0 to 24 months,BODY,6.0,6,25990.0,6.798943897381273e-05,Yellow
990291,1,Moda,BODY MANGA CORTA,Amarillo,Amarillo 12-0740,0 to 24 months,BODY,17.0,17,25990.0,7.932101213611486e-05,Yellow
990292,1,Moda,BODY MANGA CORTA,Amarillo,Blanco 10-0000,0 to 24 months,BODY,20.0,20,25990.0,7.932101213611486e-05,Yellow
990294,1,Moda,BODY MANGA CORTA,Amarillo,Amarillo 12-0740,0 to 24 months,BODY,27.0,27,25990.0,8.23718202951962e-05,Yellow
990295,1,Moda,BODY MANGA CORTA,Amarillo,Blanco 10-0000,0 to 24 months,BODY,15.0,15,25990.0,8.498679871726593e-05,Yellow
990297,1,Moda,BODY MANGA CORTA,Amarillo,Amarillo 12-0740,0 to 24 months,BODY,20.0,20,25990.0,7.554382108201415e-05,Yellow
